10132,11699,13390,14951,16098,16346,15740,14430,12416,10197,7839,5180,3064,1282,341,120,654,2149,4003,6180,9026,11246,13603,15168,16174,16282,15562,14089,12042,9831,7451,4756,2764,1048,226,142,809,2383,4337,6934,9375,11602,13929,15326,16168,16222,15330,13978,11747,9429,7054,4418,2468,858,200,218,1013,2705,4691,7354,9702,12030,14211,15505,16230,16179,15163,13701,11379,9055,6262,4054,2221,742,142,310,1181,3005,5057,7776,10141,12280,14436,15230,16306,16136,14949,13379,10979,8621,5852,3741,1936,562,146,410,1445,3316,5438,8144,10503,13008,14664,15818,16292,15987,14756,13063,10724,8240,5493,3407,1710,435,100,499,1657,3680,5782,8506,10902,13331,14897,15994,16287,15838,14492,12716
10199,7841,5141,3033,1265,312,103,647,1903,3976,6206,8952,11260,13605,15166,16037,16271,15711,14246,12417,9834,7423,4818,2800,1047,247,124,851,2176,4349,6578,9329,11614,13903,15344,16289,16201,15499,13934,11998,9419,7058,4400,2474,916,175,154,946,2426,4711,6995,9756,11966,14163,15516,16276,16182,15364,13648,11662,9027,6621,4064,2199,701,120,314,1207,2748,5029,7348,10136,12351,14427,15672,16303,16063,15168,13406,11328,8623,6258,3711,1960,573,95,440,1426,3000,5340,7774,10516,12629,14671,15823,16308,15966,14732,13056,10942,8204,5871,3395,1730,438,62,567,1662,3335,5793,8210,10910,13001,14932,15942,16299,15840,14500,12724,10584,7842,5507,3052,1434,280,81,690,1894
3963,6160,8567,11282,13282,15128,16070,16278,15608,14312,12450,10193,7444,5194,2746,1265,253,118,840,2151,4333,6508,8925,11648,13599,15580,16136,16205,15470,14019,12047,9400,7028,4752,2461,1057,190,158,1039,2347,4678,6974,9342,11955,13999,15545,16187,16052,15414,13692,11726,8988,6635,4458,2275,829,138,232,1181,2691,5004,7444,10113,12288,14192,15675,16266,16072,15175,13372,11342,8725,6307,4073,1946,232,96,339,1429,3020,5416,7716,10530,12680,14436,15829,16332,16031,14954,13080,10978,8194,5871,3299,1681,611,220,423,1659,3324,5757,8172,10943,13061,14725,15863,16278,15831,14736,12724,10601,7824,5523,3103,1478,455,85,549,1858,3705,6168,8544,11245,13297,15174,16054,16318,15672
14600,12384,10195,7430,5163,2742,1311,334,144,689,2172,3984,6696,8949,11637,13611,15386,16146,16292,15556,14234,12067,9790,7038,4756,2478,1061,172,186,853,2421,4346,6997,9359,11966,13898,15513,16206,16089,15336,13955,11714,9422,6668,4409,2210,852,134,235,1029,2725,4709,7374,9718,12337,14181,15686,16304,16087,15191,13658,11354,9030,6293,4065,1947,704,106,285,1207,3019,5065,7748,10191,12658,14426,15820,16338,15978,14961,13400,10955,8646,5876,3671,1705,534,81,422,1657,3330,5439,8156,10515,12995,14664,16008,16289,15822,14671,13043,10578,8242,5484,3402,1273,422,90,550,1891,3672,5792,8548,10876,13332,14937,16049,16301,15702,14483,12401,10191,7858,5153,3082,1270,292,103
701,2144,3998,6216,8931,11285,13608,15127,16166,16249,15535,14238,12052,9812,7455,4757,2801,1076,227,144,816,2404,4365,6960,9314,11617,13900,15333,16242,16222,15382,13964,11699,9434,7058,4410,2504,901,180,221,1039,2705,4694,7394,9746,11989,14162,15522,16261,16179,15176,13652,11334,9048,6244,4072,2209,654,126,312,1234,3009,5102,7761,10147,12340,14425,15695,16294,16077,14760,13373,10967,8648,5891,3719,1984,600,109,414,1437,3352,5416,8157,10475,12947,14640,15828,16282,15953,14606,13086,10552,8353,5517,3351,1795,424,66,451,1660,3626,5764,8573,10915,13344,14899,15942,16223,15830,14462,12716,10190,7897,5101,3124,1187,352,99,607,1921,4019,6120,8915,11249,13453,15103,16231
16264,15709,14206,12386,9806,7432,4792,2757,1030,173,109,848,2152,4336,6486,9407,11664,13926,15309,16261,16366,15543,13965,12079,9505,7051,4374,2538,900,168,115,1034,2404,4687,6968,9712,11998,14185,15533,16255,16180,15311,13620,11610,9031,6626,4033,2266,722,253,316,1233,2739,4983,7334,10146,12343,14473,15659,16292,16044,15162,13364,11252,8647,6265,3765,1954,720,104,420,1417,3033,5410,7756,10478,12581,14677,15894,16308,15989,14770,13064,10967,8239,5959,3375,1687,467,103,552,1697,3440,5786,8167,10908,13059,14960,15973,16280,15833,14508,12788,10603,7868,5491,3063,1587,278,103,617,1862,4003,6253,8541,11248,13328,15117,16051,16242,15701,14230,12405,10185,7440,5135,2730,1261
266,108,845,2159,4336,6572,8957,11605,13617,15322,16131,16231,15584,13944,12059,9422,6956,4774,2476,1059,192,138,1005,2429,4679,6955,9356,11954,13899,15531,16236,16146,15366,13659,11696,9038,6633,4423,2205,885,101,225,1232,2712,5044,7381,10128,12361,14179,15668,16258,16070,15173,13353,11289,8631,6277,4061,1962,699,91,326,1444,2989,5427,7764,10511,12618,14451,15813,16288,15966,14986,13093,10960,8240,5871,3388,1729,578,92,416,1675,3345,5818,8160,10904,13005,14715,15967,16342,15840,14725,12748,10586,7843,5413,3106,1473,433,85,535,1894,3642,6199,8561,11266,13329,15156,16052,16284,15708,14511,12389,10194,7470,5145,2756,1258,338,127,690,2177,3981,6539,8963,11617,13648
15332,16124,16260,15568,14241,12060,9817,7036,4905,2494,1085,201,157,837,2410,4356,6898,9333,11995,13848,15507,16201,16236,15275,13997,11665,9478,6698,4401,2085,883,134,0,1060,2704,4706,7394,9711,12502,14155,15719,16246,16091,15168,13597,11324,9001,6299,4085,1924,737,74,294,1229,3137,5068,7784,10100,12652,14476,15861,16237,15984,15166,13384,10773,8558,5876,3772,1673,574,66,413,1629,3368,5419,8105,10485,13025,14680,15973,16328,15842,14721,13039,10554,8281,5505,3415,1456,411,27,528,1905,3656,5874,8537,10856,13258,14951,15988,16226,15698,14493,12430,10136,7865,5162,3031,1317,358,74,576,2111,3964,6157,8948,11299,13627,15152,16136,16275,15553,14260,12018,9839,7473,4777
2779,1109,250,160,860,2459,4419,6943,9337,11691,13910,15323,16203,16230,15386,13973,11739,9433,7062,4439,2490,864,163,218,1026,2710,4711,7398,9789,11962,14178,15283,16158,16160,15212,13712,11325,9056,6238,4058,2202,702,120,312,1226,3046,5043,7797,10164,12342,14449,15686,16304,16085,14974,13409,10955,8612,5856,3728,1974,584,86,408,1413,3342,5408,8157,10530,12999,14685,15850,16317,15970,14732,13059,10590,8233,5495,3397,1708,444,83,550,1656,3669,5784,8534,10901,13300,14920,15963,16285,15817,14486,12757,10180,7842,5146,3105,1253,324,72,706,1886,4001,6196,8947,11249,13608,15111,16056,16286,15681,14230,12399,9829,7524,4771,2776,1067,234,115,845,2168,4338,6579,9342
11614,13915,15364,16227,16215,15529,13973,12025,9420,7053,4392,2482,874,169,160,1034,2386,4684,6976,9750,11976,14195,15534,16257,16173,15361,13668,11695,9033,6638,4054,2241,710,115,314,1228,2706,5036,7387,10143,12336,14447,15663,16287,16072,15184,13373,11366,8622,6262,3663,1969,574,72,418,1403,3011,5419,7778,10526,12660,14695,15778,16296,15978,14793,13051,10988,8248,5917,3367,1693,458,72,553,1683,3335,5834,8107,10908,12983,14925,16026,16252,15833,14495,12726,10601,7885,5454,3106,1422,342,68,636,1881,3968,6209,8423,11197,13333,15122,16054,16239,15626,14235,12417,10228,7405,5152,2793,1241,273,58,855,2134,4363,6536,8973,11626,13606,15367,16136,16209,15572,13966,12119,9376
